id,Season,Decade
660,1997,1996/2005
661,1997,1996/2005
662,1997,1996/2005
663,1997,1996/2005
664,1997,1996/2005
665,1997,1996/2005
666,1997,1996/2005
667,1997,1996/2005
668,1997,1996/2005
669,1997,1996/2005
670,1997,1996/2005
671,1997,1996/2005
672,1997,1996/2005
673,1997,1996/2005
674,1997,1996/2005
675,1997,1996/2005
676,1997,1996/2005
677,1997,1996/2005
678,1997,1996/2005
679,1997,1996/2005
680,1997,1996/2005
681,1997,1996/2005
682,1997,1996/2005
683,1997,1996/2005
684,1997,1996/2005
685,1997,1996/2005
686,1997,1996/2005
687,1997,1996/2005
688,1997,1996/2005
689,1997,1996/2005
690,1997,1996/2005
691,1997,1996/2005
692,1997,1996/2005
693,1997,1996/2005
694,1997,1996/2005
695,1997,1996/2005
696,1997,1996/2005
697,1997,1996/2005
698,1997,1996/2005
699,1997,1996/2005
700,1997,1996/2005
701,1997,1996/2005
702,1997,1996/2005
703,1997,1996/2005
704,1997,1996/2005
705,1997,1996/2005
706,1997,1996/2005
707,1997,1996/2005
708,1997,1996/2005
709,1997,1996/2005
710,1997,1996/2005
711,1997,1996/2005
712,1997,1996/2005
713,1997,1996/2005
714,1997,1996/2005
715,1997,1996/2005
716,1997,1996/2005
717,1997,1996/2005
718,1997,1996/2005
719,1997,1996/2005
720,1997,1996/2005
721,1997,1996/2005
722,1997,1996/2005
723,1997,1996/2005
724,1997,1996/2005
725,1997,1996/2005
726,1997,1996/2005
727,1997,1996/2005
728,1997,1996/2005
729,1997,1996/2005
730,1997,1996/2005
731,1997,1996/2005
732,1997,1996/2005
733,1997,1996/2005
734,1997,1996/2005
735,1997,1996/2005
736,1997,1996/2005
737,1997,1996/2005
738,1997,1996/2005
739,1997,1996/2005
740,1997,1996/2005
741,1997,1996/2005
742,1997,1996/2005
743,1997,1996/2005
744,1997,1996/2005
745,1997,1996/2005
746,1997,1996/2005
747,1997,1996/2005
748,1997,1996/2005
749,1997,1996/2005
750,1997,1996/2005
751,1997,1996/2005
752,1997,1996/2005
753,1997,1996/2005
754,1997,1996/2005
755,1997,1996/2005
756,1997,1996/2005
757,1997,1996/2005
758,1997,1996/2005
759,1997,1996/2005
760,1997,1996/2005
761,1997,1996/2005
762,1997,1996/2005
763,1997,1996/2005
764,1997,1996/2005
765,1997,1996/2005
766,1997,1996/2005
767,1997,1996/2005
768,1997,1996/2005
769,1997,1996/2005
770,1997,1996/2005
771,1997,1996/2005
772,1997,1996/2005
773,1997,1996/2005
774,1997,1996/2005
775,1997,1996/2005
776,1997,1996/2005
777,1997,1996/2005
778,1997,1996/2005
779,1997,1996/2005
780,1997,1996/2005
781,1997,1996/2005
782,1997,1996/2005
783,1997,1996/2005
784,1997,1996/2005
785,1997,1996/2005
786,1997,1996/2005
787,1997,1996/2005
788,1997,1996/2005
789,1997,1996/2005
790,1997,1996/2005
791,1997,1996/2005
792,1997,1996/2005
793,1997,1996/2005
794,1997,1996/2005
795,1997,1996/2005
796,1997,1996/2005
797,1997,1996/2005
798,1997,1996/2005
799,1997,1996/2005
800,1997,1996/2005
801,1997,1996/2005
802,1997,1996/2005
803,1997,1996/2005
804,1997,1996/2005
805,1997,1996/2005
806,1997,1996/2005
807,1997,1996/2005
808,1997,1996/2005
809,1997,1996/2005
810,1997,1996/2005
811,1997,1996/2005
812,1997,1996/2005
813,1997,1996/2005
814,1997,1996/2005
815,1997,1996/2005
816,1997,1996/2005
817,1997,1996/2005
818,1997,1996/2005
819,1997,1996/2005
